Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",1206,3,4u7,C29823
"C10, C11, C12, C13, C14, C15, C16, C19, C34, C35, C36, C37, C38, C39, C41, C42, C43, C44, C46, C47, C48, C49, C50, C52, C54, C55, C7, C8, C9",0402,29,100n,C307331
"C17, C4, C5, C6",0402,4,220p,C1530
"C18, C25, C26, C27, C28, C29, C30",0402,7,10n,C15195
"C20, C40, C57",1206,3,22u,C20416445
"C21, C22, C23, C24, C45, C56, C59",0805,7,4u7,C33546011
"C31, C32, C33, C58",0402,4,1n,C1523
"C51, C53",0402,2,10p,C32949
D1,0603,1,LED,C2290
"D4, D5, D6",D_SOD-323,3,1N4148WS,C2128
FB1,0603,1,120,C14709
"J1, J3, J5",PinSocket_2x02_P1.27mm_Vertical_SMD,3,Conn_02x02_Odd_Even,C30607465
"J2, J4, J6",PinSocket_2x03_P1.27mm_Vertical_SMD,3,Conn_02x03_Odd_Even,C32713074
L2,L_TechFuse_SL0420,1,4u7,C22463808
"R1, R11, R13, R2, R26, R27, R28, R3, R30, R33, R34",0402,11,33k,C25779
"R10, R12, R14, R15, R16, R17, R29, R31, R35, R36, R37, R38, R4, R40, R41, R42, R43, R5, R6, R7, R8, R9",0402,22,2k2,C25879
"R18, R19, R20, R21, R22, R23",0603,6,1,C22936
"R24, R25",0805,2,51,C17738
R32,0402,1,330,C25104
R39,0402,1,12k,C25752
"TH1, TH2, TH3, TH4",0402,4,10k,C41417281
"U1, U2, U3",JEITA_SOIC-8_3.9x4.9mm_P1.27mm,3,IRS2181STR,C20623180
"U10, U11, U12, U13, U8, U9",SOT-23-5,6,74LVC1G66,C46553572
U14,SOT-23-6,1,JW5017S,C371172
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U5,LQFP-48_7x7mm_P0.5mm,1,STM32G473CBTx,C730111
U6,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,SP485E,C6855
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
