Designator,Mid X,Mid Y,Rotation,Layer
C1,-27.5,-28.0,90.0,top
C10,-18.546743,-28.464729,90.0,top
C11,-18.451245,-9.310459,135.0,top
C12,-18.438527,12.686845,135.0,top
C13,-17.596296,-23.781776,0.0,top
C14,-7.299805,-24.810209,0.0,top
C15,-7.361764,-3.546354,0.0,top
C16,-7.291818,18.427247,0.0,top
C17,-27.004616,18.01182,180.0,top
C18,-19.404261,18.23353,0.0,top
C19,-22.124461,24.697653,0.0,top
C2,-27.906702,-9.016034,90.0,top
C20,-8.183893,-21.909438,90.0,top
C21,-22.162135,22.440705,90.0,top
C22,-22.667162,-23.874084,0.0,top
C23,-22.981052,-4.887759,0.0,top
C24,-23.072256,17.099358,0.0,top
C25,-26.907373,-19.023244,0.0,top
C26,-26.90388,-0.043976,0.0,top
C27,-27.013749,21.968596,0.0,top
C28,-6.362982,-29.999416,0.0,top
C29,-6.361578,-8.733886,0.0,top
C3,-27.918855,13.01239,90.0,top
C30,-6.346153,13.214286,0.0,top
C31,-6.362982,-30.999416,0.0,top
C32,-6.348703,-9.756114,0.0,top
C33,-6.34259,12.246307,0.0,top
C34,-27.946772,-13.944686,0.0,top
C35,-27.943417,5.032166,0.0,top
C36,-27.939952,27.048496,0.0,top
C37,-10.541078,-29.686646,90.0,top
C38,-10.473637,-7.843397,90.0,top
C39,-10.533319,14.174174,90.0,top
C4,-28.0,-20.0,0.0,top
C40,-13.138007,-17.39775,0.0,top
C41,-11.820401,-19.070839,0.0,top
C42,-14.005047,-19.072444,0.0,top
C43,-6.196873,28.685623,0.0,top
C44,-12.312805,27.890284,90.0,top
C45,-21.627535,1.842639,270.0,top
C46,-7.5,3.5,90.0,top
C47,-20.173537,4.372142,45.0,top
C48,-15.92741,-3.578135,135.0,top
C49,-8.0,0.5,225.0,top
C5,-28.0,-1.0,0.0,top
C50,-11.029597,-4.455604,270.0,top
C51,-6.325992,6.544396,45.0,top
C52,-20.672308,22.491728,90.0,top
C53,-9.549329,10.656206,225.0,top
C54,-20.346118,5.905779,225.0,top
C55,-22.465118,-17.598105,180.0,top
C56,-20.438836,-12.523948,0.0,top
C57,-18.18509,-15.808483,90.0,top
C58,-18.809327,6.024113,45.0,top
C59,-23.293177,6.866745,90.0,top
C6,-28.0,21.0,0.0,top
C7,-6.0,-20.5,0.0,top
C8,-6.0,1.0,0.0,top
C9,-6.0,23.0,0.0,top
D1,-8.364638,23.073416,45.0,top
D4,-24.501484,-30.993034,0.0,top
D5,-24.915627,-12.197726,0.0,top
D6,-24.927745,9.740901,0.0,top
FB1,-23.376903,3.60914,90.0,top
J1,-37.5,-31.0,0.0,bottom
J2,-13.5,-30.5,0.0,bottom
J3,-37.5,-9.0,0.0,bottom
J4,-13.5,-8.5,0.0,bottom
J5,-37.5,13.0,0.0,bottom
J6,-13.5,13.5,0.0,bottom
L2,-21.0,-20.5,0.0,top
R1,-28.5,-22.5,90.0,top
R10,-17.61552,-22.775719,180.0,top
R11,-25.294113,22.659834,270.0,top
R12,-25.689417,28.432979,135.0,top
R13,-26.069623,20.703902,225.0,top
R14,-26.984028,18.986355,180.0,top
R15,-8.362982,-30.999416,0.0,top
R16,-8.348703,-9.756114,0.0,top
R17,-10.0,12.253744,0.0,top
R18,-35.0,-31.0,0.0,top
R19,-35.0,-9.0,0.0,top
R2,-28.5,-3.5,90.0,top
R20,-35.0,13.0,0.0,top
R21,-17.324648,-29.481878,90.0,top
R22,-17.5,-8.5,135.0,top
R23,-17.5,13.5,135.0,top
R24,-20.893448,27.820257,270.0,top
R25,-19.0,27.819837,90.0,top
R26,-28.5,-24.5,90.0,top
R27,-28.5,-5.5,90.0,top
R28,-28.5,16.5,90.0,top
R29,-16.5,-14.5,90.0,top
R3,-28.5,18.5,90.0,top
R30,-24.05144,-14.859199,90.0,top
R31,-11.283367,26.009843,90.0,top
R32,-10.887906,9.331463,225.0,top
R33,-25.297617,26.514196,90.0,top
R34,-25.297617,24.603558,90.0,top
R35,-8.326644,20.857304,45.0,top
R36,-9.864229,-1.496853,225.0,top
R37,-13.243329,-29.231039,180.0,top
R38,-13.126741,-7.229079,180.0,top
R39,-16.500001,-16.463564,90.0,top
R4,-28.0,-21.0,0.0,top
R40,-13.142767,14.713513,180.0,top
R41,-13.186901,-30.54468,0.0,top
R42,-13.086871,-8.485633,0.0,top
R43,-12.984138,13.484138,0.0,top
R5,-28.0,-2.0,0.0,top
R6,-28.0,20.0,0.0,top
R7,-6.5,-23.0,90.0,top
R8,-7.0,-1.0,0.0,top
R9,-6.51698,20.491339,90.0,top
TH1,-6.0,-21.5,0.0,top
TH2,-6.0,0.0,0.0,top
TH3,-6.0,22.0,0.0,top
TH4,-19.615873,-23.322831,180.0,top
U1,-22.660352,-27.577259,180.0,top
U10,-27.5,24.5,270.0,top
U11,-6.845271,-27.42379,270.0,top
U12,-6.89789,-6.126855,270.0,top
U13,-6.838172,15.829097,270.0,top
U14,-21.47509,-15.34527,0.0,top
U2,-23.078718,-8.587463,180.0,top
U3,-23.091181,13.414115,180.0,top
U4,-13.0,-24.0,90.0,top
U5,-14.0,2.5,135.0,top
U6,-16.5,22.5,180.0,top
U8,-27.5,-16.5,270.0,top
U9,-27.5,2.5,270.0,top
Y1,-8.0,8.5,135.0,top
