Designator,Mid X,Mid Y,Rotation,Layer
C1,-7.970937,-30.912808,0.0,top
C10,-67.5,-13.0,180.0,top
C11,-8.082832,-9.247145,0.0,top
C12,-67.5,-9.0,180.0,top
C13,-67.5,-6.75,180.0,top
C14,-67.5,-4.5,180.0,top
C15,-67.5,-2.25,180.0,top
C16,-67.5,0.0,180.0,top
C17,-67.5,2.25,180.0,top
C18,-67.5,4.5,180.0,top
C19,-67.5,6.75,180.0,top
C2,-67.5,-31.0,180.0,top
C20,-67.5,9.0,180.0,top
C21,-8.194832,12.443326,0.0,top
C22,-67.5,13.0,180.0,top
C23,-67.5,15.25,180.0,top
C24,-67.5,17.5,180.0,top
C25,-67.5,19.75,180.0,top
C26,-67.5,22.0,180.0,top
C27,-67.5,24.25,180.0,top
C28,-67.5,26.5,180.0,top
C29,-67.5,28.75,180.0,top
C3,-67.5,-28.75,180.0,top
C30,-67.5,31.0,180.0,top
C4,-67.5,-26.5,180.0,top
C5,-67.5,-24.25,180.0,top
C6,-67.5,-22.0,180.0,top
C7,-67.5,-19.75,180.0,top
C8,-67.5,-17.5,180.0,top
C9,-67.5,-15.25,180.0,top
J1,-37.5,-31.0,0.0,top
J2,-13.5,-30.5,0.0,top
J3,-37.5,-9.0,0.0,top
J4,-13.5,-8.5,0.0,top
J5,-37.5,13.0,0.0,top
J6,-13.5,13.5,0.0,top
Q1,-48.25,-27.3,180.0,top
Q10,-48.25,27.2,180.0,top
Q11,-24.25,16.7,180.0,top
Q12,-24.25,27.2,180.0,top
Q2,-48.25,-16.8,180.0,top
Q3,-24.25,-27.3,180.0,top
Q4,-24.25,-16.8,180.0,top
Q5,-48.25,-5.3,180.0,top
Q6,-48.25,5.2,180.0,top
Q7,-24.25,-5.3,180.0,top
Q8,-24.25,5.2,180.0,top
Q9,-48.25,16.7,180.0,top
R1,-11.221299,-24.60116,0.0,top
R2,-11.221299,-19.10116,0.0,top
R3,-11.221299,-13.60116,0.0,top
R4,-11.195264,-2.890526,0.0,top
R5,-11.195264,2.609474,0.0,top
R6,-11.195264,8.109474,0.0,top
R7,-11.197668,18.74417,0.0,top
R8,-11.197668,24.24417,0.0,top
R9,-11.197668,29.74417,0.0,top
U1,-7.334558,-28.936452,0.0,top
U2,-7.500001,-7.26496,0.0,top
U3,-7.471145,14.422565,0.0,top
